iso2,year,new_sp_m014,new_sp_m1524,new_sp_m2534,new_sp_m3544,new_sp_m4554,new_sp_m5564,new_sp_m65,new_sp_f014,new_sp_f1524,new_sp_f2534,new_sp_f3544,new_sp_f4554,new_sp_f5564,new_sp_f65
AE,2000,2,4,4,6,5,12,10,3,16,1,3,0,0,4
AF,2000,52,228,183,149,129,94,80,93,414,565,339,205,99,36
AG,2000,0,0,0,0,0,0,1,1,1,1,0,0,0,0
AL,2000,2,19,21,14,24,19,16,3,11,10,8,8,5,11
AM,2000,2,152,130,131,63,26,21,1,24,27,24,8,8,4
AN,2000,0,0,1,2,0,0,0,0,0,1,0,0,1,0
AO,2000,186,999,1003,912,482,312,194,247,1142,1091,844,417,200,120
AR,2000,97,278,594,402,419,368,330,121,544,479,262,230,179,216
AT,2000,1,17,30,59,42,23,41,1,11,22,12,11,6,22
AU,2000,3,16,35,25,24,19,49,0,15,19,12,15,5,14
AZ,2000,0,9,24,33,42,30,0,0,3,3,6,3,0,0
AF,2001,129,379,349,274,204,139,103,146,799,888,586,375,179,89
AL,2001,3,13,18,17,19,20,30,1,12,10,5,7,7,9
AM,2001,2,154,120,93,54,24,9,1,40,31,22,10,7,5
AN,2001,0,0,1,5,0,0,0,0,0,1,0,0,1,0
AO,2001,230,892,752,648,420,197,173,279,993,869,647,323,200,182
AR,2001,78,682,611,495,471,404,436,85,674,561,303,242,215,249
AT,2001,1,15,27,39,37,37,27,1,8,13,15,4,6,18
AU,2001,1,23,20,18,18,13,35,1,21,27,16,7,8,20